"","Feature1","Feature2","Correlation"
"108210","TCGA-06-0650-01A-02D-1697-05","TCGA-06-5410-01A-01D-1697-05",0.968379469223368
"115171","TCGA-12-5299-01A-02D-1481-05","TCGA-12-5299-01A-02D-1481-05",1
"113431","TCGA-12-5299-01A-02D-1481-05","TCGA-19-5950-01A-11D-1697-05",0.93067848591335
"109951","TCGA-12-5299-01A-02D-1481-05","TCGA-06-5408-01A-01D-1697-05",0.927340495722218
"115520","TCGA-28-5219-01A-01D-1481-05","TCGA-28-5219-01A-01D-1481-05",1
"100556","TCGA-28-5219-01A-01D-1481-05","TCGA-06-5411-01A-01D-1697-05",0.939704271060409
"108560","TCGA-28-5219-01A-01D-1481-05","TCGA-76-4935-01A-01D-1481-05",0.937798352677121
"115869","TCGA-26-5135-01A-01D-1481-05","TCGA-26-5135-01A-01D-1481-05",1
"108561","TCGA-26-5135-01A-01D-1481-05","TCGA-76-4935-01A-01D-1481-05",0.931646298072233
"111345","TCGA-26-5135-01A-01D-1481-05","TCGA-76-4934-01A-01D-1481-05",0.923369682721072
"116218","TCGA-06-5415-01A-01D-1481-05","TCGA-06-5415-01A-01D-1481-05",1
"107866","TCGA-06-5415-01A-01D-1481-05","TCGA-76-6192-01A-11D-1697-05",0.943684791525022
"117610","TCGA-06-5415-01A-01D-1481-05","TCGA-19-5958-01A-11D-1697-05",0.941797773105077
"116567","TCGA-28-5213-01A-01D-1481-05","TCGA-28-5213-01A-01D-1481-05",1
"120047","TCGA-28-5213-01A-01D-1481-05","TCGA-19-5955-01A-11D-1697-05",0.963775012065825
"104387","TCGA-28-5213-01A-01D-1481-05","TCGA-76-6282-01A-11D-1697-05",0.959720810938436
"116916","TCGA-06-5417-01A-01D-1481-05","TCGA-06-5417-01A-01D-1481-05",1
"58452","TCGA-06-5417-01A-01D-1481-05","TCGA-02-2483-01A-01D-0788-05",0.893466393323885
"106128","TCGA-06-5417-01A-01D-1481-05","TCGA-06-6389-01A-11D-1697-05",0.892657809591496
"117265","TCGA-06-5414-01A-01D-1481-05","TCGA-06-5414-01A-01D-1481-05",1
"104737","TCGA-06-5414-01A-01D-1481-05","TCGA-28-5214-01A-01D-1481-05",0.937796208069291
"116221","TCGA-06-5414-01A-01D-1481-05","TCGA-06-5415-01A-01D-1481-05",0.937555369315612
"117614","TCGA-19-5958-01A-11D-1697-05","TCGA-19-5958-01A-11D-1697-05",1
"107870","TCGA-19-5958-01A-11D-1697-05","TCGA-76-6192-01A-11D-1697-05",0.953632107290598
"101606","TCGA-19-5958-01A-11D-1697-05","TCGA-06-0190-01A-01D-A45W-05",0.951496354197914
"117963","TCGA-19-5956-01A-11D-1697-05","TCGA-19-5956-01A-11D-1697-05",1
"100563","TCGA-19-5956-01A-11D-1697-05","TCGA-06-5411-01A-01D-1697-05",0.926076539454692
"96735","TCGA-19-5956-01A-11D-1697-05","TCGA-06-6391-01A-11D-1697-05",0.917550225006481
"118312","TCGA-28-6450-01A-11D-1697-05","TCGA-28-6450-01A-11D-1697-05",1
"117616","TCGA-28-6450-01A-11D-1697-05","TCGA-19-5958-01A-11D-1697-05",0.935087673371418
"107872","TCGA-28-6450-01A-11D-1697-05","TCGA-76-6192-01A-11D-1697-05",0.933525483540844
"118661","TCGA-76-6191-01A-12D-1697-05","TCGA-76-6191-01A-12D-1697-05",1
"100565","TCGA-76-6191-01A-12D-1697-05","TCGA-06-5411-01A-01D-1697-05",0.938812240461699
"119009","TCGA-76-6191-01A-12D-1697-05","TCGA-06-5413-01A-01D-1697-05",0.932753546241553
"119010","TCGA-06-5413-01A-01D-1697-05","TCGA-06-5413-01A-01D-1697-05",1
"107874","TCGA-06-5413-01A-01D-1697-05","TCGA-76-6192-01A-11D-1697-05",0.955682576677409
"119706","TCGA-06-5413-01A-01D-1697-05","TCGA-76-6193-01A-11D-1697-05",0.95050163011019
"119359","TCGA-81-5910-01A-11D-1697-05","TCGA-81-5910-01A-11D-1697-05",1
"107875","TCGA-81-5910-01A-11D-1697-05","TCGA-76-6192-01A-11D-1697-05",0.939785851019622
"120403","TCGA-81-5910-01A-11D-1697-05","TCGA-19-5952-01A-11D-1697-05",0.938971519473753
"119708","TCGA-76-6193-01A-11D-1697-05","TCGA-76-6193-01A-11D-1697-05",1
"107876","TCGA-76-6193-01A-11D-1697-05","TCGA-76-6192-01A-11D-1697-05",0.966927841168649
"105440","TCGA-76-6193-01A-11D-1697-05","TCGA-32-1980-01A-01D-1697-05",0.96377671181225
"120057","TCGA-19-5955-01A-11D-1697-05","TCGA-19-5955-01A-11D-1697-05",1
"107877","TCGA-19-5955-01A-11D-1697-05","TCGA-76-6192-01A-11D-1697-05",0.967850003349987
"116577","TCGA-19-5955-01A-11D-1697-05","TCGA-28-5213-01A-01D-1481-05",0.963775012065825
"120406","TCGA-19-5952-01A-11D-1697-05","TCGA-19-5952-01A-11D-1697-05",1
"107878","TCGA-19-5952-01A-11D-1697-05","TCGA-76-6192-01A-11D-1697-05",0.9582948974313
"104398","TCGA-19-5952-01A-11D-1697-05","TCGA-76-6282-01A-11D-1697-05",0.956563452944084
"120755","TCGA-87-5896-01A-01D-1697-05","TCGA-87-5896-01A-01D-1697-05",1
"113447","TCGA-87-5896-01A-01D-1697-05","TCGA-19-5950-01A-11D-1697-05",0.918966623350843
"61595","TCGA-87-5896-01A-01D-1697-05","TCGA-14-1402-01A-01D-0521-05",0.915028643212014
"121104","TCGA-06-5856-01A-01D-1697-05","TCGA-06-5856-01A-01D-1697-05",1
"119016","TCGA-06-5856-01A-01D-1697-05","TCGA-06-5413-01A-01D-1697-05",0.93325480175841
"116232","TCGA-06-5856-01A-01D-1697-05","TCGA-06-5415-01A-01D-1481-05",0.929994150085111
