"","Feature1","Feature2","Correlation"
"116218","TCGA-06-5415-01A-01R-1482-01","TCGA-06-5415-01A-01R-1482-01",1
"109258","TCGA-06-5415-01A-01R-1482-01","TCGA-28-5220-01A-01R-1482-01",0.996050756117338
"37570","TCGA-06-5415-01A-01R-1482-01","TCGA-41-3392-01A-01R-0916-01",0.965984784625993
"116567","TCGA-28-5213-01A-01R-1482-01","TCGA-28-5213-01A-01R-1482-01",1
"113783","TCGA-28-5213-01A-01R-1482-01","TCGA-28-5209-01A-01R-1482-01",0.914811335270194
"51143","TCGA-28-5213-01A-01R-1482-01","TCGA-02-0046-01A-01R-0177-01",0.899795906227183
"116916","TCGA-06-5417-01A-01R-1482-01","TCGA-06-5417-01A-01R-1482-01",1
"106824","TCGA-06-5417-01A-01R-1482-01","TCGA-76-4925-01A-01R-1482-01",0.993690609954317
"25044","TCGA-06-5417-01A-01R-1482-01","TCGA-27-2521-01A-01R-0789-01",0.947856140821556
"117265","TCGA-06-5414-01A-01R-1482-01","TCGA-06-5414-01A-01R-1482-01",1
"115525","TCGA-06-5414-01A-01R-1482-01","TCGA-28-5219-01A-01R-1482-01",0.997232674838133
"19477","TCGA-06-5414-01A-01R-1482-01","TCGA-32-2638-01A-01R-0916-01",0.966117026003359
"117614","TCGA-19-5958-01A-11R-1698-01","TCGA-19-5958-01A-11R-1698-01",1
"22958","TCGA-19-5958-01A-11R-1698-01","TCGA-19-2620-01A-01R-0916-01",0.957081284374593
"116222","TCGA-19-5958-01A-11R-1698-01","TCGA-06-5415-01A-01R-1482-01",0.956567297015316
"117963","TCGA-19-5956-01A-11R-1698-01","TCGA-19-5956-01A-11R-1698-01",1
"118659","TCGA-19-5956-01A-11R-1698-01","TCGA-76-6191-01A-13R-1698-01",0.952049988595758
"49755","TCGA-19-5956-01A-11R-1698-01","TCGA-19-1390-01A-01R-0916-01",0.947576166908856
"118312","TCGA-28-6450-01A-11R-1698-01","TCGA-28-6450-01A-11R-1698-01",1
