,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,0.8319829,0.9498398,0.90138495,-0.4313463,-0.24641046,-2.1814463,-0.36910787,-0.17867778,3.622271,0.54483414,3.2646265,1.1411464,-2.0665638,-1.7127835,-0.4353138,-1.9317716,0.681303,-0.50823486,2.701606,2.4741187,-0.2861482,0.6486495,-0.23791742,-1.5184383,1.1257612,-0.19282457,-0.985856,1.0360471,-0.71104896,-0.15782304,0.6298137,1.3297974,2.4590623,4.6314373,1.5541764,-1.941338,-0.42175493,-2.0468185,-0.24440373,0.93015224,-1.0983349,2.2120042,3.216325,0.54609245,0.24809685,3.2078998,-0.2272027,1.4837548,2.389132,-1.7555676,2.2046442,-2.0965312,2.3170152,-0.9479813,-1.7267705,-1.1910834,-1.0686644,0.56620586,-0.5851893,2.419238,0.9457968,0.41110885,2.287726,1.3680791
11,-0.7826135,-0.915425,-0.15589875,-2.6122296,-0.75141853,-2.3188224,-0.22175206,-1.8021507,1.1805348,1.5883982,-0.25308463,-0.27080363,-1.245075,-0.15633571,-0.7937789,-4.2500954,2.0029907,-1.7658112,5.1578712,-0.51400733,-1.0610517,0.21944925,-1.247917,0.26332894,-0.24367207,-1.052919,0.12658906,3.2101529,-0.1838101,0.7707602,-2.1451023,-2.1362233,2.7945325,3.1070564,0.7990109,-0.6989205,-2.3770497,-1.2543485,-0.8079272,-1.3264542,-1.4543376,-0.015935255,-0.2874999,0.5824563,1.2217163,0.7092948,-1.9450371,-0.28352252,-0.44888517,-1.3549976,1.9545522,-1.7070937,3.5247324,-2.490092,-1.1824971,-1.2917486,-2.1702244,-0.03351582,-0.34177688,0.65139616,-0.24973549,-0.5745866,0.7008855,0.6188446
12,-0.5782143,-1.3773384,-0.7885672,-0.5951038,-1.6847156,2.3684697,-0.5515358,-0.3380917,-3.4628644,1.4286377,-1.8821746,-0.6395886,-0.039805017,-0.4980508,-0.28089485,-0.07525067,2.4508576,-0.1308115,-0.4326701,-0.9337344,2.8447297,-1.4497547,0.08663251,-0.29834753,-2.6636305,0.17547333,-0.5289134,-0.8821555,-0.14315422,0.2935324,-1.5154388,-1.5819219,-0.8370389,-3.6620185,0.21839114,-0.5642862,-0.5059569,-1.1770725,-0.56145304,-1.5902609,-0.5289151,-0.87255967,-2.3201587,-0.58542484,-1.386296,-1.9641654,-0.4853288,-1.1404973,-1.0276341,1.1315306,-0.30499345,0.5315164,1.8262019,1.9420754,0.33679333,-0.02716782,-0.19337696,-1.4040807,0.888538,-2.0469947,2.2369943,-0.8283148,1.4845884,-1.6001894
13,-1.7408278,-1.0548036,0.17240497,-0.6299999,0.47693828,-0.9920621,1.021798,2.470015,-4.683352,0.9274342,-4.5542006,-1.036892,4.758586,2.2150745,5.4306736,0.33907312,-1.2387202,1.4558046,-3.861284,0.89861214,2.033401,0.7251539,2.3822432,-2.1740968,-6.5756197,2.3988452,-3.538164,-0.9141293,-0.37437817,0.38163742,-0.96089876,-2.5344658,-5.620249,-4.8841243,-3.6342626,2.4575,1.7794719,1.9754683,1.0067674,-2.6637695,4.2075515,-3.8993397,-4.4331985,-4.672127,0.7626428,-1.8081914,0.15052222,-1.9253651,-3.513239,0.6548816,-3.0560515,4.365267,0.6353898,5.346318,2.4773245,2.2209668,2.0628421,3.70951,0.99043125,-2.849461,-2.687576,-4.5888915,-2.4207237,-2.9447715
14,-3.2063596,1.2594501,0.21666856,-0.5998458,-0.83380306,0.02573854,-0.47958606,0.5754105,-0.1550155,2.7934296,0.8096986,-2.0341194,-2.9918244,-1.1830734,-2.4900582,-3.7331095,1.606066,-0.478555,2.3046367,0.00486077,1.8334174,0.26328117,2.7024453,-1.289689,-1.4560374,0.010760276,2.0431588,-0.17563087,-0.1576887,0.8177404,-1.8078547,-0.98255605,3.0987313,4.836898,1.7057679,-1.2870972,-0.9700683,-1.9552879,0.51108056,0.6019591,0.85156906,-0.67137474,-1.9460052,-1.0483735,2.1580853,-0.23226205,0.5490035,-2.169804,0.8533446,-1.1664234,2.9386246,0.4955337,5.445559,-0.8578551,-2.1867027,-2.382764,-0.5516969,0.7690896,-0.04690022,2.9593759,-2.7351863,2.0721745,0.019075494,0.5466399
15,-3.2493389,0.9334009,6.8301215,0.11314613,0.59032196,1.5314628,0.6713899,-2.8968375,-5.244343,-5.3810606,-5.908704,0.70250535,3.2990232,0.5533171,-0.8394361,6.995647,-6.0240884,10.064545,-9.178861,-0.9933425,-3.864128,0.5339788,-0.5437174,-2.3414152,-3.7051764,0.3900806,-1.09754,-9.027968,3.1025662,6.040512,-1.668199,-2.455066,-3.3962715,-3.0266857,-6.4395523,6.0873184,0.21202281,10.539426,0.9902195,1.2482992,0.44208848,-7.876642,-1.6330894,-5.4011135,-1.3412483,-0.06967395,1.1530634,2.1733012,-3.0297532,1.849785,-11.788673,4.435247,-7.7385683,0.36065418,5.3015404,7.163484,1.6260598,6.5539317,-3.633852,-2.5855231,-3.7715707,-1.549359,-4.384248,-2.8717518
16,1.0598025,-1.3536761,0.31622317,-1.0731454,1.3538467,-2.994998,-0.4786418,0.56584686,3.7649534,-0.15169302,1.7772012,-0.20770483,-0.46380645,-0.60828894,0.7362478,-2.3901548,0.7628666,-1.2643507,4.9373274,-0.9081967,-0.4772005,-0.049289748,-1.910646,-0.6351471,3.5071266,0.10895941,0.006227876,2.0496433,0.13525318,-0.8519874,0.44910383,0.23165834,1.6448741,2.236356,3.177804,-0.9725791,-0.27095678,-1.486274,-0.48126966,0.951156,-0.5726969,1.3757366,2.4867687,0.6460561,0.5744816,3.1629045,-0.7327252,-0.06791715,1.3314929,-1.5375707,1.8213313,-0.8086637,2.834417,-0.058411054,-0.118745655,-0.2633605,-1.6899378,0.47329095,-0.76192176,0.74414754,0.4593415,-0.32372284,0.38303527,0.069454096
17,-2.359525,-0.19768879,0.9112452,1.8605909,-1.2988429,5.107477,2.3079238,-0.97085035,-7.237959,0.20479797,-5.42011,-0.8274231,5.5457997,2.690598,0.07091337,0.4475091,-1.371629,0.9867619,-1.7509416,0.17699969,-0.54197514,0.84300137,-0.23350254,-3.59192,-4.62656,0.005493073,-2.0041273,-1.2650634,2.9095705,0.5491452,-2.8270361,-1.9609092,-2.0077384,-4.09728,-4.420513,0.101942785,2.1589072,-0.7023233,-0.09517182,-2.6663938,1.8560951,-5.165223,-5.6464825,-2.62525,-2.3965724,-4.4319134,1.877425,-2.5822403,-1.9178796,2.2422175,-2.1645749,1.212724,-0.7654931,-0.13151759,0.67500985,1.0239648,-0.8044677,-0.6196377,-0.094829775,-0.59485126,-4.130234,-2.0821483,-0.66089034,0.81899464
18,0.78380156,1.044749,0.3492345,-0.5146924,-0.6995154,-1.6533798,-1.2121187,1.2837938,1.7255089,0.6476454,1.7158273,0.28833303,-2.299525,-1.354928,-0.96309453,-1.4803092,1.8697273,-1.6448275,3.0993888,0.6796828,0.8233723,0.47869194,-1.3106916,-0.7503284,1.6258601,-1.6209201,0.046060864,1.3410584,-0.7773795,-1.0739354,0.31784827,0.08924693,1.4621243,3.163206,3.018349,-0.65674317,0.70387274,-1.9722097,0.15548484,-0.22469899,0.31633112,1.3957113,1.3584106,0.25828266,-0.1862469,1.6877751,0.119590774,-0.4167902,-0.1589317,-1.3286173,2.4823563,-1.3233337,1.4317544,-1.4036548,-2.2122116,-1.1257999,-1.7151259,0.5876513,-0.907452,2.1319118,1.599314,0.9416779,0.12929948,1.1972536
19,2.3887298,0.82432604,-1.0863982,1.0812688,0.2570243,0.7617846,-1.3571223,0.7103474,-1.9454851,-1.379272,-0.7212285,-0.5208283,1.3785616,1.3264402,-0.9579267,1.9824317,1.2692393,-0.8825611,-0.036962368,-1.9858035,2.878013,-0.5168415,-0.37517148,1.0028418,1.0776358,1.6647104,-0.001461898,0.23797321,-1.8036182,-1.2884573,-1.1764542,-0.2245191,-2.5445845,-2.2912414,1.8899807,1.6275767,1.3169869,-0.5338658,1.3034223,0.5130764,1.5624225,0.91536725,-3.236969,0.9774785,-1.8682286,-0.5391221,0.27266833,-1.4978312,-0.95067304,-1.1848266,-0.63512367,0.48930037,-1.0131588,-0.08727806,-0.7953057,-0.36365575,0.82133937,-1.0363328,0.033812515,-1.3512511,0.056828603,0.37158388,-0.39013308,-0.6068128
